"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Добавляем товар в корзину, затем удаляем его и проверяем, что корзина пуста.","3271","Тест на удаление товара из корзины","tests","Wed Feb 26 10:10:14 ICT 2025","passed","Wed Feb 26 10:10:18 ICT 2025","","test_api","",""
"Добавляем товар в корзину, затем изменяем его количество и проверяем корректность изменения.","3961","Тест на изменение количества товара в корзине","tests","Wed Feb 26 10:10:18 ICT 2025","passed","Wed Feb 26 10:10:22 ICT 2025","","test_api","",""
"Выполняем поиск товара по названию, проверяем успешное добавление в корзину.","8036","Тест поиска и добавления товара в корзину","tests","Wed Feb 26 10:10:36 ICT 2025","passed","Wed Feb 26 10:10:44 ICT 2025","","test_ui","",""
"Добавляем товар в корзину и проверяем корректность ответа API.","2545","Тест на добавление товара в корзину","tests","Wed Feb 26 10:10:12 ICT 2025","passed","Wed Feb 26 10:10:14 ICT 2025","","test_api","",""
"Добавляем товар в корзину, затем удаляем его и проверяем отсутствие в корзине.","8854","Тест удаления товара из корзины","tests","Wed Feb 26 10:10:57 ICT 2025","passed","Wed Feb 26 10:11:06 ICT 2025","","test_ui","",""
"Добавляем товар в корзину, меняем количество и проверяем корректность изменения.","9239","Тест изменения количества товара в корзине","tests","Wed Feb 26 10:11:19 ICT 2025","passed","Wed Feb 26 10:11:28 ICT 2025","","test_ui","",""
