"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","UI тесты для функционала корзины","3","0","","0"
"0","","0","API тесты для функционала корзины","3","0","","0"
